Item Name,Item Category,Unit Price ($),Discount ($),Date,Time,Hour
TERRA BEER BOTTLE 16,Clothing and Apparel,3.69,0.0,10/08/2023,16:57:40,16
HI DEP**,Clothing and Apparel,0.05,0.0,10/08/2023,16:57:40,16
HI TAX** 1PK,Clothing and Apparel,0.01,0.0,10/08/2023,16:57:40,16
TERRA BEER BOTTLE 16,Clothing and Apparel,3.69,0.0,10/08/2023,16:57:40,16
HI DEP** 1PK,Clothing and Apparel,0.05,0.0,10/08/2023,16:57:40,16
HI TAX** 1PK,Clothing and Apparel,0.01,0.0,10/08/2023,16:57:40,16
1 Md Ice Orig Latte,Clothing and Apparel,4.99,0.0,5/5/2022,11:06 :00,11
1 Md Ice Orig Latte,Clothing and Apparel,5.19,0.0,9/5/2023,8:16 :00,8
SIG PARCHMENT PAPR,Clothing and Apparel,4.99,0.0,08/27/23,10:57:00,10
SIG ALUMINUM FOIL,Clothing and Apparel,3.49,0.0,08/27/23,10:57:00,10
LUCERNE MILK WHOLE,Clothing and Apparel,4.79,0.0,08/27/23,10:57:00,10
LTRBK JAPANESE WHIT BREAD,Clothing and Apparel,5.39,0.0,06/25/2023,14:44 :00,14
840043 MASHD POTATO,Clothing and Apparel,7.49,0.0,06/22/2022,16:43:00,16
3 WHOLE MILK,Clothing and Apparel,5.77,0.0,06/22/2022,16:43:00,16
8789 PINEAPPLE,Clothing and Apparel,3.69,0.0,06/22/2022,16:43:00,16
48757 SPRING MIX,Clothing and Apparel,5.49,0.0,06/22/2022,16:43:00,16
1089787 KS BAGS 200,Clothing and Apparel,18.89,0.0,06/22/2022,16:43:00,16
1634838 MASSAMAN,Clothing and Apparel,8.99,0.0,06/22/2022,16:43:00,16
36946 BEEF BULGOGI,Clothing and Apparel,27.73,0.0,06/22/2022,16:43:00,16
1 Plate,Clothing and Apparel,11.0,0.0,10/18/2023,15:49:00,15
FRIED RICE-1/2,Clothing and Apparel,1.5,0.0,10/18/2023,15:49:00,15
HNY WLT SHRIMP,Clothing and Apparel,1.5,0.0,10/18/2023,15:49:00,15
BLK PEPPER STEAK,Clothing and Apparel,1.5,0.0,10/18/2023,15:49:00,15
Panda Cares Donation,Clothing and Apparel,0.34,0.0,10/18/2023,15:49:00,15
1 Plate,Clothing and Apparel,10.6,0.0,6/9/2023,11:02:50 ,11
FRIED RICE-1/2,Clothing and Apparel,1.5,0.0,6/9/2023,11:02:50 ,11
FRIED <UNKNOWN>,Clothing and Apparel,1.5,0.0,6/9/2023,11:02:50 ,11
STR BN CKN BRST,Clothing and Apparel,1.5,0.0,6/9/2023,11:02:50 ,11
ORANGE CKN,Clothing and Apparel,1.5,0.0,6/9/2023,11:02:50 ,11
1 XTRA ENTREE,Clothing and Apparel,1.5,0.0,6/9/2023,11:02:50 ,11
VEG SPRING <UNKNOWN>,Clothing and Apparel,1.5,0.0,6/9/2023,11:02:50 ,11
Donut,Clothing and Apparel,2.49,0.0,7/10/2023,17:25 :00,17
Fries & Sweets,Clothing and Apparel,10.0,0.0,Mar27'23,19:00:00,19
Purist,Clothing and Apparel,12.5,0.0,Mar27'23,19:00:00,19
Beef 1/3,Clothing and Apparel,14.5,0.0,Mar27'23,19:00:00,19
HAAGEN DAZS,Clothing and Apparel,7.49,0.0,07/30/22,11:46:00,11
HAAGEN DAZS COFFEEAC,Clothing and Apparel,7.49,0.0,07/30/22,11:46:00,11
SWBCO SHR SUNSCREEN SPRY,Clothing and Apparel,14.99,5.0,06/23/2023,17:26 :00,17
JOLLYTIME POPCORN VARIETY POPCORN BAGS 10 PK,Clothing and Apparel,3.49,0.0,09/29/2023,22:20:44,22
CONFECTIONARY,Clothing and Apparel,3.79,0.0,09/29/2023,22:20:44,22
PREP PROD CH,Clothing and Apparel,2.38,0.0,10/08/23,12:20:17,12
GV CHK MOZZ,Clothing and Apparel,4.42,0.0,10/08/23,12:20:17,12
OV UH RF JUG,Clothing and Apparel,9.58,0.0,10/31/23,12:23:50,12
PFD BTRNUT SOUP OG,Clothing and Apparel,5.39,0.8,05/04/2022,16:24 :00,16
PFD OG CRMY CARROT SOUP,Clothing and Apparel,5.29,0.3,05/04/2022,16:24 :00,16
365WFM BREADED CALAMARI,Clothing and Apparel,6.79,0.0,05/04/2022,16:24 :00,16
VTACO CCNUT WT,Clothing and Apparel,6.29,1.9,05/04/2022,16:24 :00,16
CARROT GINGER SOUP,Clothing and Apparel,8.49,0.0,05/04/2022,16:24 :00,16
OG CAULIFLOWER,Clothing and Apparel,5.99,0.0,05/04/2022,16:24 :00,16
CIABATTA BREAD,Clothing and Apparel,3.99,0.0,05/04/2022,16:24 :00,16
PAD TRACING 11X14,Clothing and Apparel,5.95,0.0,05/22/2023,22:40:00,22
2 Cucumber Maki,Clothing and Apparel,3.98,0.0,4/7/23,15:36 :00,15
1 Shrimp Tempura Hr,Clothing and Apparel,3.3,0.0,4/7/23,15:36 :00,15
2 Bean Burrito,Clothing and Apparel,1.89,0.0,10/4/2023,19:09:00,19
2 No Red Sauce,Clothing and Apparel,0.0,0.0,10/4/2023,19:09:00,19
2 NO Onion,Clothing and Apparel,0.0,0.0,10/4/2023,19:09:00,19
2 Add Beef,Clothing and Apparel,1.1,0.0,10/4/2023,19:09:00,19
PETIT ECOLIR MLK,Clothing and Apparel,4.69,0.0,05/07/22,14:22:00,14
CALAMARI RNG,Clothing and Apparel,6.34,0.0,08/12/23,20:08:57,20
ALMOND MILK,Clothing and Apparel,3.58,0.0,08/12/23,20:08:57,20
SF CANDY,Clothing and Apparel,3.48,0.0,08/12/23,20:08:57,20
COCONUT MILK,Clothing and Apparel,1.64,0.0,08/12/23,20:08:57,20
#18. Lamb Salad,Clothing and Apparel,13.99,0,06-Jul-2023,19:57:00,19
1 Lg Ice Orig Latte,Clothing and Apparel,5.59,0.0,9/25/2023,8:18 :00,8
NISHIKI RICE VINEGAR,Clothing and Apparel,3.99,0.0,09/23/2023,18:31:17,18
AJI GYOZA PORK & CHK,Clothing and Apparel,15.49,0.0,09/23/2023,18:31:17,18
SK AMAZU SHOGA,Clothing and Apparel,7.99,0.0,09/23/2023,18:31:17,18
OSTS GLZ OF DONUT HS,Clothing and Apparel,4.49,0.0,09/23/2023,18:31:17,18
OM HARD SALAMI,Clothing and Apparel,6.39,0.0,09/23/2023,18:31:17,18
HEARTH N HARVEST WH*,Clothing and Apparel,3.99,0.0,09/23/2023,18:31:17,18
CROWN ROYAL PEACH,Clothing and Apparel,24.99,0.0,09/23/2023,18:31:17,18
SAPPORO 12PK BEER*,Clothing and Apparel,10.99,0.0,09/23/2023,18:31:17,18
HF LTL SMOKIES*,Clothing and Apparel,5.99,0.0,09/23/2023,18:31:17,18
GRND BF 75% LEAN,Clothing and Apparel,4.82,0.0,09/23/2023,18:31:17,18
GRND BF 75% LEAN,Clothing and Apparel,10.38,0.0,09/23/2023,18:31:17,18
PAPER BAG TIMES,Clothing and Apparel,0.15,0.0,09/23/2023,18:31:17,18
1 Single Scoop,Clothing and Apparel,4.39,0.0,9/1/2023,17:15 :00,17
Dip Sugar Cone,Clothing and Apparel,1.2,0.0,9/1/2023,17:15 :00,17
SF CANDY,Clothing and Apparel,3.48,0.0,09/23/23,14:13:39,14
SF CANDY,Clothing and Apparel,3.48,0.0,09/23/23,14:13:39,14
SF CANDY,Clothing and Apparel,3.48,0.0,09/23/23,14:13:39,14
SF CANDY,Clothing and Apparel,3.48,0.0,09/23/23,14:13:39,14
SF CANDY,Clothing and Apparel,3.48,0.0,09/23/23,14:13:39,14
TRAVEL SEWING KIT,Clothing and Apparel,4.99,0.0,06/21/23,19:29:00,19
SLAM DUNK BUBBLE GUM,Clothing and Apparel,4.49,0.0,06/21/23,19:29:00,19
SIG MINI PRETZELS,Clothing and Apparel,2.5,0.0,08/20/23,20:04:00,20
VELVETTA,Clothing and Apparel,5.49,1.5,08/20/23,20:04:00,20
BROWN COW CRM TOP,Clothing and Apparel,6.99,0.0,08/20/23,20:04:00,20
SIG TURKEY BREAST,Clothing and Apparel,<UNKNOWN>,0.0,08/20/23,20:04:00,20
FT CUSHION VISTA VINTAGE,Clothing and Apparel,55.0,0.0,10/15/2023,24:20:00,24
BAG FEE,Clothing and Apparel,0.15,0.0,10/15/2023,24:20:00,24
CARDAMOM POWDER,Clothing and Apparel,5.96,0.0,6/17/2023,11:39:07,11
CINN VIETNAMESE,Clothing and Apparel,3.54,0.0,6/17/2023,11:39:07,11
CUMIN SEED GROUND,Clothing and Apparel,2.18,0.0,6/17/2023,11:39:07,11
ADBR COFFEE RIO,Clothing and Apparel,4.99,0.0,03/15/23,16:35:00,16
Happy Meal Ch Burger,Clothing and Apparel,4.69,0.0,10/30/2022,18:43 :00,18
Cheeseburger,Clothing and Apparel,1.49,0.0,10/30/2022,18:43 :00,18
Extra Kids Fry,Clothing and Apparel,0.8,0.0,10/30/2022,18:43 :00,18
Apple Juice,Clothing and Apparel,1.0,0.0,10/30/2022,18:43 :00,18
Regular Meat,Clothing and Apparel,0.8,0.0,10/30/2022,18:43 :00,18
M Diet Coke,Clothing and Apparel,1.49,0.0,10/30/2022,18:43 :00,18
<UNKNOWN>,Clothing and Apparel,34.47,0.0,10/21/23,11:46:09,11
ORANGE NAVEL,Clothing and Apparel,1.99,0,09/30/2023,14:17:04,14
CHINESE PARSLEY CILA,Clothing and Apparel,2.69,0,09/30/2023,14:17:04,14
CARROTS-CELLO 2# BH! W,Clothing and Apparel,2.49,0,09/30/2023,14:17:04,14
OYSTER SAUCE 180Z,Clothing and Apparel,6.79,0.0,10/13/23,19:27:00,19
QRT CK LEMON,Clothing and Apparel,8.99,0.0,10/13/23,19:27:00,19
NY STYLE GRND PORK,Clothing and Apparel,6.49,0.0,10/13/23,19:27:00,19
GREEN CABBAGE,Clothing and Apparel,7.98,0.0,10/13/23,19:27:00,19
REDUCED BANANAS,Clothing and Apparel,4.49,0.0,10/13/23,19:27:00,19
3 FINGER COMBO,Clothing and Apparel,10.89,0.0,9/17/2023,15:07:00,15
BOX COMBO,Clothing and Apparel,12.39,0.0,9/17/2023,15:07:00,15
BOX COMBO,Clothing and Apparel,12.39,0.0,9/17/2023,15:07:00,15
SWEET TEA,Clothing and Apparel,0.0,0.0,9/17/2023,15:07:00,15
FOUNTAIN DRNK,Clothing and Apparel,1.69,0.0,10/15/23,21:04:00,21
AMB BENTO SPCY CKN,Clothing and Apparel,1.69,0.69,10/15/23,21:04:00,21
Knitty Critters - Pouch Pals - Eddy,Clothing and Apparel,18.0,0.0,"Nov 04, 2023",14:26 :00,14
The Bear Crochet Kit,Clothing and Apparel,18.0,0.0,"Nov 04, 2023",14:26 :00,14
Knitty Critters - Pouch Pals -,Clothing and Apparel,18.0,0.0,"Nov 04, 2023",14:26 :00,14
Popcorn The Bunny Crochet Kit,Clothing and Apparel,0.15,0.0,"Nov 04, 2023",14:26 :00,14
Double <UNKNOWN>,Clothing and Apparel,3.59,0.0,11/12/2022,18:58 :00,18
<UNKNOWN> French Fries,Clothing and Apparel,3.19,0.0,11/12/2022,18:58 :00,18
261050140 HERSHEY PB,Clothing and Apparel,2.89,0.0,07/17/2023,19:52 :00,19
LUCERNE MILK WHOLE,Clothing and Apparel,4.49,0.0,05/26/22,11:57:00,11
Chocolate Colored Film,Clothing and Apparel,1.35,0.0,7/3/23,14:52 :00,14
HI1 Candy,Clothing and Apparel,5.4,0.25,7/3/23,14:52 :00,14
OREO ORIG DBL STFF 14.0,Clothing and Apparel,2.93,4.06,"JULY 18, 2023",19:38 :00,19
BAUD WAFER CHOCLT,Clothing and Apparel,2.69,1.02,"JULY 18, 2023",19:38 :00,19
HWNISL TEABG GVGNS,Clothing and Apparel,3.6,1.89,"JULY 18, 2023",19:38 :00,19
CRISPY CAULIFLOWER BITES,Clothing and Apparel,11.0,0.0,11/27/2022,11:17 :00,11
THE MARKET PUB BURGER,Clothing and Apparel,14.0,0.0,11/27/2022,11:17 :00,11
MIXER,Clothing and Apparel,2.0,0.0,11/27/2022,11:17 :00,11
LIFEWAY OWM KFR PL.,Clothing and Apparel,7.49,0.5,08/10/23,21:45:00,21
OPN NT PIZZA,Clothing and Apparel,8.49,1.5,08/10/23,21:45:00,21
SIG PISTACHIOS,Clothing and Apparel,10.99,0.0,08/10/23,21:45:00,21
APPLES ROYAL GALA,Clothing and Apparel,1.35,0.0,08/10/23,21:45:00,21
CONCRETE MIX 60lb QUIKRETE,Clothing and Apparel,10.25,0.0,10/07/23,10:30:00,10
120Z BLUE PREMIUM,Clothing and Apparel,3.49,0.0,10/14/23,11:51:39 ,11
12x11.3x4.75 Acac,Clothing and Apparel,10.99,0.0,10/14/23,11:51:39 ,11
2023 Gold Pass,Clothing and Apparel,79.99,0.0,08/06/2023,10:36:00,10
2023 Season Pass,Clothing and Apparel,59.99,0.0,08/06/2023,10:36:00,10
1 Happy Meal Ch Burger,Clothing and Apparel,4.39,0.0,07/04/2023,16:24 :00,16
1 Cheeseburger,Clothing and Apparel,0.0,0.0,07/04/2023,16:24 :00,16
1 Extra Kids Fry,Clothing and Apparel,0.0,0.0,07/04/2023,16:24 :00,16
1 Apple Juice,Clothing and Apparel,0.0,0.0,07/04/2023,16:24 :00,16
1 S Apl Jc Surcharge,Clothing and Apparel,0.0,0.0,07/04/2023,16:24 :00,16
1 ELEMENTAL,Clothing and Apparel,0.0,0.0,07/04/2023,16:24 :00,16
1 S Grimace Bday Shake,Clothing and Apparel,3.69,0.0,07/04/2023,16:24 :00,16
1 S Shake Surcharge,Clothing and Apparel,0.0,0.0,07/04/2023,16:24 :00,16
<UNKNOWN>,Clothing and Apparel,4.54,0.0,06/27/23,20:08:54,20
<UNKNOWN>,Clothing and Apparel,0.06,0.0,06/27/23,20:08:54,20
DOLE JCE,Clothing and Apparel,7.68,0.0,06/27/23,20:08:54,20
HI FEE/DEP,Clothing and Apparel,9.96,0.0,06/27/23,20:08:54,20
FC PNUT PNUT BTR BTR,Clothing and Apparel,3.48,0.0,06/27/23,20:08:54,20
SEASONED SF CANDY,Clothing and Apparel,3.48,0.0,06/27/23,20:08:54,20
<UNKNOWN>,Clothing and Apparel,5.12,0.0,06/27/23,20:08:54,20
SF CANDY,Clothing and Apparel,3.48,0.0,06/27/23,20:08:54,20
<UNKNOWN>,Clothing and Apparel,48.96,0.0,06/27/23,20:08:54,20
KETCHUP,Clothing and Apparel,2.3,0.0,06/27/23,20:08:54,20
WAIALUA FRESH CAGE,Clothing and Apparel,6.99,0.0,10/21/23,16:34:00,16
DANISH VARIETY FRT,Clothing and Apparel,6.99,0.0,10/21/23,16:34:00,16
1125156 ORG LATE JUL,Clothing and Apparel,8.99,0.0,11/07/2023,18:10:00,18
222464 MOZZ STICKS,Clothing and Apparel,16.99,0.0,11/07/2023,18:10:00,18
169730 FR <UNKNOWN>,Clothing and Apparel,0.99,3.2,11/07/2023,18:10:00,18
1678104 ORG AVO OIL.,Clothing and Apparel,15.99,0.0,11/07/2023,18:10:00,18
155138 SHAVED PARM,Clothing and Apparel,16.69,0.0,11/07/2023,18:10:00,18
737160 KIMCHI,Clothing and Apparel,6.99,0.0,11/07/2023,18:10:00,18
1620336 GUACAMOLE,Clothing and Apparel,9.99,0.0,11/07/2023,18:10:00,18
1036732 ORG CELERY,Clothing and Apparel,5.99,0.0,11/07/2023,18:10:00,18
1487676 MINI LIGHTS,Clothing and Apparel,24.99,10.0,11/07/2023,18:10:00,18
47825 GREEN <UNKNOWN>,Clothing and Apparel,6.59,0.0,11/07/2023,18:10:00,18
2955509 DIAPERS SZ 4,Clothing and Apparel,52.49,0.0,11/07/2023,18:10:00,18
1344105 BLUE DOGFOOD,Clothing and Apparel,65.89,0.0,11/07/2023,18:10:00,18
33605 FILET STEAK,Clothing and Apparel,57.77,0.0,11/07/2023,18:10:00,18
27003 STRAWBERRIES,Clothing and Apparel,5.39,0.0,11/07/2023,18:10:00,18
677492 KS ORG EGGS,Clothing and Apparel,8.89,4.0,04/25/2022,18:33:00,18
1450796 CHKN CHUNKS,Clothing and Apparel,19.99,4.0,04/25/2022,18:33:00,18
1582666 ONION GRUYER,Clothing and Apparel,7.99,4.0,04/25/2022,18:33:00,18
1613499 KEBABS,Clothing and Apparel,11.99,4.0,04/25/2022,18:33:00,18
545345 KS PISTACHIO,Clothing and Apparel,15.99,4.0,04/25/2022,18:33:00,18
SF CANDY,Clothing and Apparel,9.93,0.0,05/09/22,18:36:08,18
FC PB 6CT,Clothing and Apparel,2.88,0.0,05/09/22,18:36:08,18
FC PB 6CT,Clothing and Apparel,2.88,0.0,05/09/22,18:36:08,18
LUC UNSALTD BUTTER,Clothing and Apparel,6.49,0.0,09/05/22,08:46:00,08
KRYGOLD IRSH BTTR,Clothing and Apparel,4.99,1.5,09/05/22,08:46:00,08
ACCES0843 - Fender Dreadnought/12-String Case <UNKNOWN> Black,Clothing and Apparel,149.99,0.0,10/8/2023,24:31 :00,24
LUC CHESE,Clothing and Apparel,4.59,0.4,05/05/22,20:18:00,20
HORIZON ORGANIC,Clothing and Apparel,7.49,0.5,05/05/22,20:18:00,20
BROWN COW YGRT VAN,Clothing and Apparel,5.99,0.0,05/05/22,20:18:00,20
LABCOAT UNISEX L WHITE,Clothing and Apparel,26.95,0.0,10/31/2023,14:57:00,14
GOGGLES SAFETY GREEN,Clothing and Apparel,4.5,0.0,10/31/2023,14:57:00,14
365WFM OG ROMAINE BAG,Clothing and Apparel,3.99,0.0,04/13/2023,19:46 :00,19
KND PCN MAPLE BAR,Clothing and Apparel,3.19,0.0,04/13/2023,19:46 :00,19
SPRKO RED WAX GOUDA,Clothing and Apparel,9.99,6.09,04/13/2023,19:46 :00,19
365WFM BREADED CALAMARI,Clothing and Apparel,7.99,0.0,04/13/2023,19:46 :00,19
90 - HAIRCARE,Clothing and Apparel,14.99,0.0,07-17-2023,13:25:59,13
73 - BATH & BODY/WE,Clothing and Apparel,4.99,0.0,07-17-2023,13:25:59,13
45 - CHILDRENS TOYS,Clothing and Apparel,4.99,0.0,07-17-2023,13:25:59,13
Grill Chz,Clothing and Apparel,3.69,0.0,2/28/2023,24:12 :00,24
Sourdough,Clothing and Apparel,0.0,0.0,2/28/2023,24:12 :00,24
2pc Bagel Minis Plain,Clothing and Apparel,3.09,0.0,2/28/2023,24:12 :00,24
Sm Ice Orig Latte,Clothing and Apparel,4.69,0.0,2/28/2023,24:12 :00,24
1 Lg Ice Orig Latte,Clothing and Apparel,5.59,0.0,6/26/2023,11:09 :00,11
Blended Milk Tea,Clothing and Apparel,6.5,0.0,"October 23, 2023",15:52 :00,15
071200630 THAT'S IT,Clothing and Apparel,4.47,0.0,10/21/2023,24:09 :00,24
231000978 GENERALMILLS,Clothing and Apparel,5.79,0.0,10/21/2023,24:09 :00,24
288030240 CPK,Clothing and Apparel,6.49,0.0,10/21/2023,24:09 :00,24
071100984 GG CRACKER,Clothing and Apparel,2.99,0.0,10/21/2023,24:09 :00,24
284101092 CHOBANI,Clothing and Apparel,1.0,0.49,10/21/2023,24:09 :00,24
284101095 CHOBANI,Clothing and Apparel,1.0,0.49,10/21/2023,24:09 :00,24
284100221 CHOBANI,Clothing and Apparel,1.0,0.49,10/21/2023,24:09 :00,24
271550378 ALANI,Clothing and Apparel,2.5,0.99,10/21/2023,24:09 :00,24
271550378 ALANI,Clothing and Apparel,2.5,0.99,10/21/2023,24:09 :00,24
284110730 GG CHEESE,Clothing and Apparel,4.29,0.0,10/21/2023,24:09 :00,24
094040045 BENADRYL,Clothing and Apparel,8.79,0.0,10/21/2023,24:09 :00,24
049004698 Method BW,Clothing and Apparel,11.99,0.0,10/21/2023,24:09 :00,24
245093516 Rohto,Clothing and Apparel,10.99,0.0,10/21/2023,24:09 :00,24
200080762 Reduce,Clothing and Apparel,13.99,0.0,10/21/2023,24:09 :00,24
088010058 FranklinSprt,Clothing and Apparel,2.29,0.0,10/21/2023,24:09 :00,24
234262323 BULLSEYE'S A,Clothing and Apparel,1.0,0.0,10/21/2023,24:09 :00,24
EZEKIEL,Clothing and Apparel,2.4,0.0,11/05/23,18:06:31,18
073472001200 F,Clothing and Apparel,8.13,0.0,11/05/23,18:06:31,18
=SH FAT FREE MILK PC,Clothing and Apparel,4.79,0.5,10/17/23,<unknown>,<unknown>
=SH WHOLE MILK PC,Clothing and Apparel,4.79,0.5,10/17/23,<unknown>,<unknown>
SALMON FILLET,Clothing and Apparel,11.47,0.0,10/17/23,<unknown>,<unknown>
FF CHX BL SL THGH,Clothing and Apparel,15.45,0.0,10/17/23,<unknown>,<unknown>
OM FC BACON PC,Clothing and Apparel,5.69,2.8,10/17/23,<unknown>,<unknown>
LCL POKE AHI PC,Clothing and Apparel,7.48,0.0,10/17/23,<unknown>,<unknown>
LCL AHI CAL ROLL PPC,Clothing and Apparel,3.43,0.0,10/17/23,<unknown>,<unknown>
LCL AHI MAUI POKE PC,Clothing and Apparel,7.06,0.0,10/17/23,<unknown>,<unknown>
=APPLE ENVY PC,Clothing and Apparel,9.84,3.29,10/17/23,<unknown>,<unknown>
UNLEAD (11) Gallons,Clothing and Apparel,4.189,0.0,07/17/23,24:01 :00,24
1 Happy Meal Ch Burger,Clothing and Apparel,5.19,0.0,08/06/2022,16:04 :00,16
1 Cheeseburger,Clothing and Apparel,0.0,0.0,08/06/2022,16:04 :00,16
1 Extra Kids Fry,Clothing and Apparel,0.0,0.0,08/06/2022,16:04 :00,16
1 THOR Love & Thunder,Clothing and Apparel,0.0,0.0,08/06/2022,16:04 :00,16
1 Apple Juice,Clothing and Apparel,0.0,0.0,08/06/2022,16:04 :00,16
1 S Frozen Coke,Clothing and Apparel,1.5,0.0,08/06/2022,16:04 :00,16
*** TO GO ***,Clothing and Apparel,0.0,0.0,9/20/2023,20:59 :00,20
KOR CHX CHILI,Clothing and Apparel,14.8,0.0,9/20/2023,20:59 :00,20
original chili,Clothing and Apparel,0.0,0.0,9/20/2023,20:59 :00,20
* YES UTENSILS,Clothing and Apparel,0.0,0.0,9/20/2023,20:59 :00,20
SPRAY ROSES,Clothing and Apparel,8.99,0.0,09/04/23,14:41:00,14
LINDT MILK CHOC,Clothing and Apparel,6.79,0.0,09/04/23,14:41:00,14
Multipurpose Living Box,Clothing and Apparel,1.0,0.0,05/21/2022,13:04:00,13
Freezer Bag -With Seal - M - 25,Clothing and Apparel,1.5,0.0,05/21/2022,13:04:00,13
Freezer plastic bag Ssize for freezing,Clothing and Apparel,1.5,0.0,05/21/2022,13:04:00,13
DAISO GO Alkaline Battery LR03-5PCS,Clothing and Apparel,1.5,0.0,05/21/2022,13:04:00,13
1.50$,Clothing and Apparel,1.5,0.0,05/21/2022,13:04:00,13
295000078 Reusble Bags,Clothing and Apparel,0.99,0.0,10/20/2023,20:15 :00,20
020195783 <UNKNOWN>,Clothing and Apparel,20.0,0.0,10/20/2023,20:15 :00,20
020033896 PAJAMA BOTTO,Clothing and Apparel,12.99,0.0,10/20/2023,20:15 :00,20
020032901 Stars Above,Clothing and Apparel,15.0,0.0,10/20/2023,20:15 :00,20
002051181 SHOE RACKS.,Clothing and Apparel,17.0,0.0,10/20/2023,20:15 :00,20
049080049 Therabreath,Clothing and Apparel,8.49,0.0,10/20/2023,20:15 :00,20
063003819 Raw Sugar,Clothing and Apparel,9.99,0.0,10/20/2023,20:15 :00,20
063009386 Native,Clothing and Apparel,8.74,0.0,10/20/2023,20:15 :00,20
063000593 Native,Clothing and Apparel,8.74,0.0,10/20/2023,20:15 :00,20
063000283 Raw Sugar,Clothing and Apparel,9.99,0.0,10/20/2023,20:15 :00,20
063008049 Raw Sugar,Clothing and Apparel,9.99,0.0,10/20/2023,20:15 :00,20
082027946 AIM,Clothing and Apparel,9.99,0.0,10/20/2023,20:15 :00,20
082025021 All in Moton,Clothing and Apparel,12.99,0.0,10/20/2023,20:15 :00,20
